category_name,subcategory_name,catalogue_id,catalogue_name,variant_id,variant_name,current_price,description,image_url
Idli Varities,Idli Varities,599465313,Chilli Idli,817376864,Chilli Idli,115,,https://b.zmtcdn.com/data/dish_photos/576/fb1103ef61a48523bac5e0e1e9d7f576.jpeg
Idli Varities,Idli Varities,599465314,Fried Idli,817376865,Fried Idli,100,,https://b.zmtcdn.com/data/dish_photos/8f7/696fc36cfd6af3a7e117375f8abdf8f7.jpeg
Idli Varities,Idli Varities,599465315,Idli (2),817376866,Idli (2),55,,
Idli Varities,Idli Varities,599465316,Sambar Idli,817376867,Sambar Idli,75,,https://b.zmtcdn.com/data/dish_photos/e2e/3b84b48980388014aafb226c58f41e2e.jpeg
Dosai Varities,Dosai Varities,599465317,Chicken Kari Roast,817376868,Chicken Kari Roast,220,,
Dosai Varities,Dosai Varities,599465318,Egg Dosai,817376869,Egg Dosai,85,,https://b.zmtcdn.com/data/dish_photos/94e/8c9ca8db046a92773f7d27bda485a94e.jpeg
Dosai Varities,Dosai Varities,599465319,Egg Onion Roast,817376870,Egg Onion Roast,125,,
Dosai Varities,Dosai Varities,599465320,Egg Roast,817376871,Egg Roast,115,,https://b.zmtcdn.com/data/dish_photos/cb5/4299cbf6d807c0e810c4212eb305acb5.jpeg
Dosai Varities,Dosai Varities,599465321,Egg Uthappam,817376872,Egg Uthappam,115,,https://b.zmtcdn.com/data/dish_photos/3b1/3207e0d36ff899d9a491095eea7e53b1.jpeg
Dosai Varities,Dosai Varities,599465322,Ghee Masal Roast,817376873,Ghee Masal Roast,150,,https://b.zmtcdn.com/data/dish_photos/ba2/a3da6f2622946823ebb65797fb7f5ba2.jpeg
Dosai Varities,Dosai Varities,599465323,Ghee Roast,817376874,Ghee Roast,125,,
Dosai Varities,Dosai Varities,599465324,Gobi Roast,817376875,Gobi Roast,140,,
Dosai Varities,Dosai Varities,599465325,Kal Dosai,817376876,Kal Dosai,60,,
Dosai Varities,Dosai Varities,599465326,Masal Roast,817376877,Masal Roast,115,,
