short_code,name,category,variation,food_type,available,base_price,parcel_price,swiggy,zomato,flyer_eats
1,Idly [2 Nos],Idli Varities,,veg,yes,25,,,,
2,Sambar Idly,Idli Varities,,veg,yes,40,,,,
384,Fried Idly,Idli Varities,,veg,yes,60,,,,
456,Chilly Idly,Idli Varities,,veg,yes,70,,,,
303,Plain Dosai,Dosai Varities,,veg,yes,30,,,,
4,Kal Dosai,Dosai Varities,,veg,yes,30,,,,
3,Roast,Dosai Varities,,veg,yes,60,,,,
5,Podi Dosai,Dosai Varities,,veg,yes,40,,,,
418,Podi Roast,Dosai Varities,,veg,yes,70,,,,
7,Tomato Uthappam,Dosai Varities,,veg,yes,70,,,,
8,Egg Dosai,Dosai Varities,,egg,yes,50,,,,
309,Egg Roast,Dosai Varities,,egg,yes,80,,,,
10,Onion Roast,Dosai Varities,,veg,yes,90,,,,
12,Masal Roast,Dosai Varities,,veg,yes,90,,,,
9,Ghee Roast,Dosai Varities,,veg,yes,100,,,,
11,Onion Ghee Roast,Dosai Varities,,veg,yes,120,,,,
475,Ghee Masal Roast,Dosai Varities,,veg,yes,130,,,,
13,Paneer Roast,Dosai Varities,,veg,yes,120,,,,
14,Gobi Roast,Dosai Varities,,veg,yes,110,,,,
15,Mushroom Roast,Dosai Varities,,veg,yes,120,,,,
20,Chicken Kari Roast,Dosai Varities,,non_veg,yes,170,,,,
21,Mutton Kari Roast,Dosai Varities,,non_veg,yes,210,,,,
16,Plain Uthappam,Dosai Varities,,veg,yes,60,,,,
18,Onion Uthappam,Dosai Varities,,veg,yes,80,,,,
17,Veg Uthappam,Dosai Varities,,veg,yes,80,,,,
19,Egg Uthappam,Dosai Varities,,egg,yes,80,,,,
75,Parotta [1 Pc],Parotta Varities,,veg,yes,25,,,,
76,Ghee Parotta,Parotta Varities,,veg,yes,40,,,,
77,Bun Parotta,Parotta Varities,,veg,yes,40,,,,
312,Spl Sp,Parotta Varities,,veg,yes,120,,,,
82,Plain Veehu Parotta,Parotta Varities,,veg,yes,35,,,,
83,Egg Vechu Parotta,Parotta Varities,,egg,yes,70,,,,
84,Veg Kothu [Veg Special],Parotta Varities,,veg,yes,80,,,,
,Egg Kothu [special],Parotta Varities,,egg,yes,90,,,,
85,Sp,Parotta Varities,,veg,yes,90,,,,
86,Chicken S.P,Parotta Varities,,non_veg,yes,170,,,,
423,Mutton S.P.,Parotta Varities,,non_veg,yes,210,,,,
422,Veg Soup,Soup Varities,,veg,yes,70,,,,
43,Veg Clear Soup,Soup Varities,,veg,yes,70,,,,
400,Tomato Soup,Soup Varities,,veg,yes,80,,,,
417,Mushroom Soup,Soup Varities,,veg,yes,80,,,,
104,Chicken Milagu Soup,Soup Varities,,non_veg,yes,90,,,,
101,Chicken Clear Soup,Soup Varities,,non_veg,yes,100,,,,
103,Hot & Sour Veg Soup,Soup Varities,,veg,yes,90,,,,
42,Hot & Sour Non-Veg Soup,Soup Varities,,non_veg,yes,110,,,,
415,Noodles Soup Veg Soup,Soup Varities,,veg,yes,90,,,,
416,Noodles Soup Non-Veg Soup,Soup Varities,,non_veg,yes,110,,,,
92,Boiled Egg,Egg Varities,,egg,yes,20,,,,
88,Plain Omlet,Egg Varities,,egg,yes,20,,,,
166,Omlet,Egg Varities,,egg,yes,25,,,,
389,Double Omlet,Egg Varities,,egg,yes,50,,,,
93,Half Boil,Egg Varities,,egg,yes,20,,,,
94,Full Boil,Egg Varities,,egg,yes,20,,,,
91,Kalakki,Egg Varities,,egg,yes,25,,,,
459,Other Kalakki,Egg Varities,,egg,yes,30,,,,
90,Egg Podimas,Egg Varities,,egg,yes,40,,,,
406,Egg Chilly,Egg Varities,,egg,yes,90,,,,
89,Egg Masala,Egg Varities,,egg,yes,100,,,,
71,Veg Meals,Meals,,veg,yes,100,,,,
72,Cup Meals [After Biriyani],Meals,,veg,yes,60,,,,
200,Non Veg Meals,Meals,,veg,yes,250,,,,
73,Curd Rice,Meals,,veg,yes,60,,,,
341,Curd,Meals,,veg,yes,20,,,,
100,Kuska,Biryani Varities,,veg,yes,70,,,,
68,Veg Briyani,Biryani Varities,,veg,yes,100,,,,
429,Gobi Briyani,Biryani Varities,,veg,yes,110,,,,
70,Paneer Briyani,Biryani Varities,,veg,yes,140,,,,
69,Mushroom Briyani,Biryani Varities,,veg,yes,130,,,,
99,Plain Briyani,Biryani Varities,,veg,yes,100,,,,
96,Egg Briyani,Biryani Varities,,egg,yes,140,,,,
97,Chicken Briyani,Biryani Varities,,non_veg,yes,180,,,,
563,Chicken 65 Briyani,Biryani Varities,,non_veg,yes,190,,,,
98,Mutton Briyani,Biryani Varities,,non_veg,yes,230,,,,
364,Fish Briyani,Biryani Varities,,non_veg,yes,210,,,,
562,Kaadai Briyani,Biryani Varities,,non_veg,yes,220,,,,
492,Prawn Briyani,Biryani Varities,,non_veg,yes,250,,,,
67,Ghee Rice,Fried Rice Varities,,veg,yes,100,,,,
63,Veg Fried Rice,Fried Rice Varities,,veg,yes,110,,,,
64,Schezwan Veg Fried Rice,Fried Rice Varities,,veg,yes,120,,,,
434,Gobi Fried Rice,Fried Rice Varities,,veg,yes,120,,,,
554,Schezwan Gobi Fried Rice,Fried Rice Varities,,veg,yes,130,,,,
66,Paneer Fried Rice,Fried Rice Varities,,veg,yes,140,,,,
480,Schezwan Paneer Fried Rice,Fried Rice Varities,,veg,yes,150,,,,
65,Mushroom Fried Rice,Fried Rice Varities,,veg,yes,130,,,,
551,Schezwan Mushroom Rice,Fried Rice Varities,,veg,yes,140,,,,
109,Egg Fried Rice,Fried Rice Varities,,egg,yes,130,,,,
